nro_conabip,id_departamento,año_fundacion,mail
1278,6007,1925,ccibiblio@hotmail.com
1062,6014,1925,bipobrchaves@yahoo.com.ar
2170,6014,1942,barrerabp@hotmail.com
1554,6021,1925,eleana_1983@hotmail.com
3792,6028,1980,bpmgandhi@tutopia.com
2870,6028,1969,bibliorojaspaz@gmail.com
3952,6028,1998,bib_manuelbelgrano_glew@yahoo.com.ar
4260,6028,2007,neanvi@yahoo.com.ar
2982,6028,1956,bibmfierro@yahoo.com.ar
3841,6028,1999,atahualpa1999@gmail.com
2296,6035,1932,bibpopularmitre@yahoo.com.ar
2543,6035,1940,bjmarmol@yahoo.com.ar
3063,6035,2001,spebpop@gmail.com
3561,6035,1996,bipopalacios@yahoo.com.ar
3824,6035,1919,bpmavellaneda@hotmail.com
4136,6035,1980,bibliotecabravo@yahoo.com.ar
3908,6035,1998,bibliotecapopulardocksud@gmail.com
252,6035,1918,punkyflores69@hotmail.com
3719,6035,1987,bibliotecapopularpteavellaneda@yahoo.com.ar
4192,6035,1980,bsfsarmiento1925@yahoo.com.ar
3051,6035,1985,bnicolasavellaneda@yahoo.com.ar
4265,6035,2008,bibliotecapopularoscarsmith@yahoo.com
2068,6049,1939,bibliochillar@yahoo.com.ar
1663,6056,1922,bibliotecabmitre@yahoo.com.ar
3587,6056,1980,bibliotecamallea@yahoo.com.ar
3795,6056,1996,bpggbb@yahoo.com.ar
3929,6056,2000,biblioteca_rosariosur@yahoo.com.ar
4022,6056,1996,bibpopgabmistral@yahoo.com.ar
4137,6056,1980,simonrodriguezbiblioteca@gmail.com
4155,6056,1980,biblioduprat@gmail.com
4256,6056,2006,bibliotecamartinallica@yahoo.com.ar
1465,6056,1925,bibliomarianomorenoiw@gmail.com
3132,6056,1989,bibliotecapronsato@yahoo.com.ar
1021,6063,1923,bibliotecapizzurno@yahoo.com.ar
2688,6077,1939,bibmitre@yahoo.com.ar
2723,6084,1946,bipopbernaltorres@gmail.com
1280,6091,1924,bpmbelgrano@hotmail.com
3046,6091,1986,bibliotecapadremugica@hotmail.com
4075,6091,2002,bibliotecapopularjmgutierrez@hotmail.com
3033,6091,1984,bibliotecadeplatanos@yahoo.com.ar
4169,6091,1980,ranelaghbibliocampo@yahoo.com.ar
1864,6098,1935,bibliopopularpestalozzi@gmail.com
2473,6098,1949,bibliotecaguiraldes@yahoo.com.ar
