Cueanexo,Primario,Secundario,Inicial,id_departamento
20000100,1,1,1,21040
20000200,1, ,,21040
20000300,1, ,1,21130
20000500,1,1,1,21130
20000700,1,1,1,21090
20000800,1, ,,21090
20000900,1, ,,21040
20001000,1, ,,21040
20001100,1, ,,21040
20001200,1, ,,21040
20001700,1, ,1,21130
20001800,1, ,,21110
20002200,1, ,,21090
20002300,1, ,,21090
20002400,1, ,,21100
20002500,1, ,,21100
20002600, , ,,21130
20002700, , ,1,21130
20002800,1, ,1,21130
20002900,1, ,1,21040
20003100,1,1,1,21020
20003300,1, ,1,21010
20003400,1, ,1,21020
20003500, , ,1,21010
20003700, , ,1,21040
20003701, , ,1,21040
20003703, , ,1,21040
20003800,1, ,,21040
20003900,1, ,,21040
20004000,1, ,,21070
20004100,1, ,,21040
20004200,1, ,,21040
20004300,1, ,,21040
20004400, , ,1,21070
20004600,1, ,,21150
20004700,1, ,1,21140
20004800,1, ,,21150
20004900,1, ,1,21040
20005000,1, ,,21040
20005100,1, ,,21150
20005300,1, ,,21040
20005400,1, ,1,21110
20005500, , ,1,21010
20005600,1, ,,21030
20005800, ,1,,21030
20005801,1,1,,21130
20006300,1, ,,21010
20006500,1, ,1,21010
20007100,1, ,,21010
20007200,1, ,1,21010
20007300,1, ,,21010
20007500, , ,1,21100
20007501, , ,1,21100
20007502, , ,1,21100
20007600, , ,1,21040
20007700,1, ,,21040
20007800, ,1,,21050
20007900, ,1,,21090
20008200,1, ,1,21020
20008300,1,1,1,21120
20008400, , ,1,21100
20008500,1, ,,21100
20008600,1, ,,21100
20008700,1, ,1,21150
20008900,1, ,,21040
20009000,1, ,,21080
20009100,1,1,1,21120
20009500,1,1,1,21140
20009700, , ,1,21100
20009800,1,1,1,21150
20009900,1, ,1,21120
20010000,1,1,1,21140
20010200,1,1,1,21080
20010300,1, ,,21080
20010400,1, ,1,21040
20011000,1, ,,21090
20011100,1, ,,21090
20011200,1, ,,21090
20011300,1, ,,21090
