id_departamento,grupo_etario,cantidad
2007,0-5,12219
2007,6-12,14886
2007,12-18,17171
2007,>18,176724
2014,0-5,6616
2014,6-12,7503
2014,12-18,10410
2014,>18,136076
2021,0-5,9218
2021,6-12,11820
2021,12-18,14359
2021,>18,158139
2028,0-5,13843
2028,6-12,19242
2028,12-18,22147
2028,>18,171791
2035,0-5,8448
2035,6-12,11151
2035,12-18,13494
2035,>18,159353
2042,0-5,9182
2042,6-12,11819
2042,12-18,14351
2042,>18,166410
2049,0-5,10782
2049,6-12,14705
2049,12-18,17938
2049,>18,169836
2056,0-5,14568
2056,6-12,20231
2056,12-18,23814
2056,>18,145274
2063,0-5,8573
2063,6-12,12293
2063,12-18,15783
2063,>18,131258
2070,0-5,8255
2070,6-12,11227
2070,12-18,14313
2070,>18,138099
2077,0-5,9308
2077,6-12,12673
2077,12-18,16167
2077,>18,163756
2084,0-5,11942
2084,6-12,14758
2084,12-18,17067
2084,>18,191594
2091,0-5,12057
2091,6-12,15147
2091,12-18,18938
2091,>18,216187
2098,0-5,10915
2098,6-12,12462
2098,12-18,15406
2098,>18,208468
2105,0-5,9388
2105,6-12,12072
2105,12-18,14307
2105,>18,159495
6007,0-5,1292
6007,6-12,1463
6007,12-18,1671
6007,>18,12915
6014,0-5,950
6014,6-12,1184
6014,12-18,1387
6014,>18,9325
6021,0-5,904
6021,6-12,1166
6021,12-18,1410
6021,>18,9425
6028,0-5,43762
6028,6-12,58015
6028,12-18,68125
6028,>18,413304
6035,0-5,22784
6035,6-12,31635
6035,12-18,37923
6035,>18,273774
6042,0-5,1699
6042,6-12,2051
6042,12-18,2541
6042,>18,15464
6049,0-5,5390
6049,6-12,7022
6049,12-18,8263
6049,>18,54476
6056,0-5,22621
6056,6-12,29136
6056,12-18,33554
6056,>18,249193
6063,0-5,3638
6063,6-12,4356
6063,12-18,4982
6063,>18,35538
6070,0-5,3225
6070,6-12,3706
6070,12-18,4484
6070,>18,27799
6077,0-5,2644
6077,6-12,3046
6077,12-18,3457
6077,>18,22927
6084,0-5,1608
6084,6-12,1912
6084,12-18,2380
6084,>18,15284
6091,0-5,25806
6091,6-12,35310
6091,12-18,41619
6091,>18,255591
6098,0-5,7704
6098,6-12,10089
6098,12-18,11412
6098,>18,71479
6105,0-5,2830
6105,6-12,3296
6105,12-18,3767
6105,>18,27300
6112,0-5,3360
6112,6-12,4108
6112,12-18,4902
6112,>18,33856
6119,0-5,2588
6119,6-12,3406
6119,12-18,4101
6119,>18,22254
6126,0-5,8120
6126,6-12,10711
6126,12-18,12722
6126,>18,76422
6134,0-5,6225
6134,6-12,8115
6134,12-18,8920
6134,>18,47281
6140,0-5,1180
6140,6-12,1468
6140,12-18,1686
6140,>18,11546
6147,0-5,1731
6147,6-12,2127
6147,12-18,2474
6147,>18,16571
6154,0-5,1107
6154,6-12,1331
6154,12-18,1492
6154,>18,10076
6161,0-5,1443
6161,6-12,1627
6161,12-18,2009
6161,>18,12265
6168,0-5,760
6168,6-12,888
6168,12-18,1029
6168,>18,6873
6175,0-5,2014
6175,6-12,2418
6175,12-18,2994
6175,>18,19977
6182,0-5,4705
6182,6-12,6284
6182,12-18,7493
6182,>18,47340
6189,0-5,1131
6189,6-12,1368
6189,12-18,1659
6189,>18,11635
6196,0-5,1890
6196,6-12,2404
6196,12-18,2553
6196,>18,17262
6203,0-5,2881
6203,6-12,3775
6203,12-18,4180
6203,>18,30876
6210,0-5,3518
6210,6-12,4504
6210,12-18,5651
6210,>18,38735
6218,0-5,3167
6218,6-12,4228
6218,12-18,4971
6218,>18,29824
6224,0-5,4906
6224,6-12,6129
6224,12-18,7531
6224,>18,51985
6231,0-5,1395
6231,6-12,1704
6231,12-18,2110
6231,>18,13116
6238,0-5,2569
6238,6-12,2888
6238,12-18,3479
6238,>18,22468
6245,0-5,4917
6245,6-12,6608
6245,12-18,7828
6245,>18,44623
6252,0-5,21900
6252,6-12,27457
6252,12-18,30240
6252,>18,176473
6260,0-5,27670
6260,6-12,35257
6260,12-18,40096
6260,>18,234855
6266,0-5,3424
6266,6-12,4195
6266,12-18,4585
6266,>18,27829
6270,0-5,17155
6270,6-12,21962
6270,12-18,24742
6270,>18,134760
6274,0-5,44663
6274,6-12,55183
6274,12-18,61698
6274,>18,326558
6277,0-5,876
6277,6-12,1070
6277,12-18,1312
6277,>18,7500
6280,0-5,3570
6280,6-12,4115
6280,12-18,4961
6280,>18,32660
6287,0-5,758
6287,6-12,968
6287,12-18,1081
6287,>18,7342
6294,0-5,1212
6294,6-12,1331
6294,12-18,1608
6294,>18,12079
6301,0-5,1618
6301,6-12,1957
6301,12-18,2208
6301,>18,14890
6308,0-5,236
6308,6-12,285
6308,12-18,357
6308,>18,2278
6315,0-5,1548
6315,6-12,2191
6315,12-18,2821
6315,>18,16004
6322,0-5,866
6322,6-12,1083
6322,12-18,1160
6322,>18,8425
6329,0-5,1466
6329,6-12,1773
6329,12-18,2104
6329,>18,12636
6336,0-5,419
6336,6-12,549
6336,12-18,580
6336,>18,3297
6343,0-5,1095
6343,6-12,1495
6343,12-18,1600
6343,>18,9950
6351,0-5,1104
6351,6-12,1131
6351,12-18,1365
6351,>18,9241
6357,0-5,41427
6357,6-12,53294
6357,12-18,67001
6357,>18,498845
6364,0-5,14137
6364,6-12,18024
6364,12-18,18644
6364,>18,91509
6371,0-5,28038
6371,6-12,38161
6371,12-18,46012
6371,>18,332291
6385,0-5,1801
6385,6-12,2208
6385,12-18,2369
6385,>18,16151
6392,0-5,2797
6392,6-12,3412
6392,12-18,4022
6392,>18,24823
6399,0-5,822
6399,6-12,1028
